ランク,所属コード,上位ランク,0,部門名称,開始世代,終了世代,コード1,コード2,コード3,コード4,コード5,コード6,コード7,コード8,コード9,名称1,名称2,名称3,名称4,名称5,名称6,名称7,名称8,名称9,所属名称,略称,備考,給与専用,所属コード,総表示順位
4,08052500,3,08050000,東京ビジネスリスクマネジメントチーム,64,9999,2,291,674,3211,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,東京ビジネスリスクマネジメントチーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 東京ビジネスリスクマネジメントチーム,ＣＯＭ本部ＢＭ局東京ビジネスリスクマネジメントＴ,,0,08052500,69
4,08053500,3,08050000,大阪ビジネスリスクマネジメントチーム,64,9999,2,291,674,3212,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,大阪ビジネスリスクマネジメントチーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 大阪ビジネスリスクマネジメントチーム,ＣＯＭ本部ＢＭ局大阪ビジネスリスクマネジメントＴ,,0,08053500,70
4,08054000,3,08050000,東京第１管理チーム,64,9999,2,291,674,3214,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,東京第１管理チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 東京第１管理チーム,ＣＯＭ本部ＢＭ局東京第１管理チーム,,0,08054000,71
4,08054500,3,08050000,東京第２管理チーム,64,9999,2,291,674,3215,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,東京第２管理チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 東京第２管理チーム,ＣＯＭ本部ＢＭ局東京第２管理チーム,,0,08054500,72
4,08055000,3,08050000,大阪管理チーム,64,9999,2,291,674,3216,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,大阪管理チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 大阪管理チーム,ＣＯＭ本部ＢＭ局大阪管理チーム,,0,08055000,73
4,08055500,3,08050000,名古屋管理チーム,64,9999,2,291,674,3217,0,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,名古屋管理チーム,,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 名古屋管理チーム,ＣＯＭ本部ＢＭ局名古屋管理チーム,,0,08055500,74
5,08055501,4,08055500,（医師）,64,9999,2,291,674,3217,836,0,0,0,0,株式会社  大広,コーポレートマネジメント本部,ビジネスマネジメント局,名古屋管理チーム,（医師）,,,,,株式会社  大広 コーポレートマネジメント本部 ビジネスマネジメント局 名古屋管理チーム （医師）,ＣＯＭ本部ＢＭ局名古屋管理チーム（医師）,,0,08055501,75
2,18000000,1,00000001,東京第１ＢＡＰ本部,64,9999,2,292,0,0,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,,,,,,,,株式会社  大広 東京第１ＢＡＰ本部,東京第１ＢＡＰ本部,,0,18000000,76
3,18020000,2,18000000,第１プロデュース局,64,9999,2,292,675,0,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局,東京第１ＢＡＰ本部第１プロデュース局,,0,18020000,77
4,18021000,3,18020000,峰松チーム,64,9999,2,292,675,3218,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,峰松チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 峰松チーム,東京第１ＢＡＰ本部第１Ｐ局峰松チーム,,0,18021000,78
4,18022000,3,18020000,佐藤（裕）チーム,64,9999,2,292,675,3219,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,佐藤（裕）チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 佐藤（裕）チーム,東京第１ＢＡＰ本部第１Ｐ局佐藤（裕）チーム,,0,18022000,79
4,18023000,3,18020000,川上チーム,64,9999,2,292,675,3220,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,川上チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 川上チーム,東京第１ＢＡＰ本部第１Ｐ局川上チーム,,0,18023000,80
4,18024000,3,18020000,安島チーム,64,9999,2,292,675,3221,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,安島チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 安島チーム,東京第１ＢＡＰ本部第１Ｐ局安島チーム,,0,18024000,81
4,18025000,3,18020000,中島谷チーム,64,9999,2,292,675,3222,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,中島谷チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 中島谷チーム,東京第１ＢＡＰ本部第１Ｐ局中島谷チーム,,0,18025000,82
4,18026000,3,18020000,田中（望）チーム,64,9999,2,292,675,3223,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,田中（望）チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 田中（望）チーム,東京第１ＢＡＰ本部第１Ｐ局田中（望）チーム,,0,18026000,83
4,18020002,3,18020000,付（ディー・クリエイト出向）,64,9999,2,292,675,3224,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,付（ディー・クリエイト出向）,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 付（ディー・クリエイト出向）,東京第１ＢＡＰ本部第１Ｐ局付（Ｄクリ出向）,,0,18020002,84
4,18027000,3,18020000,付（出向休職）,64,9999,2,292,675,3225,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,付（出向休職）,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 付（出向休職）,東京第１ＢＡＰ本部第１Ｐ局付（出向休職）,,0,18027000,85
5,18027001,4,18027000,（ディー・クリエイト）,64,9999,2,292,675,3225,837,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,付（出向休職）,（ディー・クリエイト）,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 付（出向休職） （ディー・クリエイト）,東京第１ＢＡＰ本部第１Ｐ局付（出向休職）（Ｄクリ）,,0,18027001,86
5,18027002,4,18027000,（大廣國際廣告股分有限公司）,64,9999,2,292,675,3225,838,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第１プロデュース局,付（出向休職）,（大廣國際廣告股分有限公司）,,,,,株式会社  大広 東京第１ＢＡＰ本部 第１プロデュース局 付（出向休職） （大廣國際廣告股分有限公司）,東京第１ＢＡＰ本部第１Ｐ局付（出向休職）（台湾）,,0,18027002,87
3,18040000,2,18000000,第２プロデュース局,64,9999,2,292,677,0,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第２プロデュース局,,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第２プロデュース局,東京第１ＢＡＰ本部第２プロデュース局,,0,18040000,88
4,18041000,3,18040000,園田チーム,64,9999,2,292,677,3226,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第２プロデュース局,園田チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第２プロデュース局 園田チーム,東京第１ＢＡＰ本部第２Ｐ局園田チーム,,0,18041000,89
4,18042000,3,18040000,高田（信）チーム,64,9999,2,292,677,3227,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第２プロデュース局,高田（信）チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第２プロデュース局 高田（信）チーム,東京第１ＢＡＰ本部第２Ｐ局高田（信）チーム,,0,18042000,90
4,18043000,3,18040000,張替チーム,64,9999,2,292,677,3228,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第２プロデュース局,張替チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第２プロデュース局 張替チーム,東京第１ＢＡＰ本部第２Ｐ局張替チーム,,0,18043000,91
4,18044000,3,18040000,デジタルクリエイティブラボ,64,9999,2,292,677,3229,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第２プロデュース局,デジタルクリエイティブラボ,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第２プロデュース局 デジタルクリエイティブラボ,東京第１ＢＡＰ本部第２Ｐ局デジタルクリエイティブＬ,,0,18044000,92
4,18045000,3,18040000,付（出向休職）,64,9999,2,292,677,3230,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第２プロデュース局,付（出向休職）,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第２プロデュース局 付（出向休職）,東京第１ＢＡＰ本部第２Ｐ局付（出向休職）,,0,18045000,93
5,18045001,4,18045000,（博報堂バンコク）,64,9999,2,292,677,3230,839,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第２プロデュース局,付（出向休職）,（博報堂バンコク）,,,,,株式会社  大広 東京第１ＢＡＰ本部 第２プロデュース局 付（出向休職） （博報堂バンコク）,東京第１ＢＡＰ本部第２Ｐ局付（出向休職）（タイ）,,0,18045001,94
5,18045002,4,18045000,（大広（中国）広告有限公司）,64,9999,2,292,677,3230,882,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第２プロデュース局,付（出向休職）,（大広（中国）広告有限公司）,,,,,株式会社  大広 東京第１ＢＡＰ本部 第２プロデュース局 付（出向休職） （大広（中国）広告有限公司）,東京第１ＢＡＰ本部第２Ｐ局付（出向休職）（中国）,,0,18045002,95
3,18060000,2,18000000,第３プロデュース局,64,9999,2,292,678,0,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第３プロデュース局,,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第３プロデュース局,東京第１ＢＡＰ本部第３プロデュース局,,0,18060000,96
4,18061000,3,18060000,鷲北チーム,64,9999,2,292,678,3231,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第３プロデュース局,鷲北チーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第３プロデュース局 鷲北チーム,東京第１ＢＡＰ本部第３Ｐ局鷲北チーム,,0,18061000,97
4,18062000,3,18060000,新潟支局,64,9999,2,292,678,3232,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,第３プロデュース局,新潟支局,,,,,,株式会社  大広 東京第１ＢＡＰ本部 第３プロデュース局 新潟支局,東京第１ＢＡＰ本部第３Ｐ局新潟支局,,0,18062000,98
4,18081000,2,18000000,業務マネジメントチーム,64,9999,2,292,0,3234,0,0,0,0,0,株式会社  大広,東京第１ＢＡＰ本部,,業務マネジメントチーム,,,,,,株式会社  大広 東京第１ＢＡＰ本部 業務マネジメントチーム,東京第１ＢＡＰ本部業務マネジメントチーム,,0,18081000,99
2,20000000,1,00000001,東京第２ＢＡＰ本部,64,9999,2,293,0,0,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,,,,,,,,株式会社  大広 東京第２ＢＡＰ本部,東京第２ＢＡＰ本部,,0,20000000,100
3,20020000,2,20000000,第１プロデュース局,64,9999,2,293,679,0,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第１プロデュース局,,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第１プロデュース局,東京第２ＢＡＰ本部第１プロデュース局,,0,20020000,101
4,20020001,3,20020000,付,64,9999,2,293,679,3235,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第１プロデュース局,付,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第１プロデュース局 付,東京第２ＢＡＰ本部第１Ｐ局付,,0,20020001,102
4,20021000,3,20020000,宮地チーム,64,9999,2,293,679,3236,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第１プロデュース局,宮地チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第１プロデュース局 宮地チーム,東京第２ＢＡＰ本部第１Ｐ局宮地チーム,,0,20021000,103
4,20022000,3,20020000,渡辺（哲）チーム,64,9999,2,293,679,3237,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第１プロデュース局,渡辺（哲）チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第１プロデュース局 渡辺（哲）チーム,東京第２ＢＡＰ本部第１Ｐ局渡辺（哲）チーム,,0,20022000,104
4,20023000,3,20020000,野村チーム,64,9999,2,293,679,3238,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第１プロデュース局,野村チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第１プロデュース局 野村チーム,東京第２ＢＡＰ本部第１Ｐ局野村チーム,,0,20023000,105
4,20023500,3,20020000,久木野チーム,64,9999,2,293,679,3352,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第１プロデュース局,久木野チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第１プロデュース局 久木野チーム,東京第２ＢＡＰ本部第１Ｐ局久木野チーム,,0,20023500,106
4,20023700,3,20020000,西岡チーム,64,9999,2,293,679,3356,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第１プロデュース局,西岡チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第１プロデュース局 西岡チーム,東京第２ＢＡＰ本部第１Ｐ局西岡チーム,,0,20023700,107
3,20040000,2,20000000,第２プロデュース局,64,9999,2,293,680,0,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第２プロデュース局,,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第２プロデュース局,東京第２ＢＡＰ本部第２プロデュース局,,0,20040000,108
4,20041000,3,20040000,井上チーム,64,9999,2,293,680,3239,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第２プロデュース局,井上チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第２プロデュース局 井上チーム,東京第２ＢＡＰ本部第２Ｐ局井上チーム,,0,20041000,109
4,20041500,3,20040000,森山チーム,64,9999,2,293,680,3240,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第２プロデュース局,森山チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第２プロデュース局 森山チーム,東京第２ＢＡＰ本部第２Ｐ局森山チーム,,0,20041500,110
4,20042000,3,20040000,後藤チーム,64,9999,2,293,680,3241,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第２プロデュース局,後藤チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第２プロデュース局 後藤チーム,東京第２ＢＡＰ本部第２Ｐ局後藤チーム,,0,20042000,111
3,20060000,2,20000000,第３プロデュース局,64,9999,2,293,681,0,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第３プロデュース局,,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第３プロデュース局,東京第２ＢＡＰ本部第３プロデュース局,,0,20060000,112
4,20061000,3,20060000,平泉チーム,64,9999,2,293,681,3242,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第３プロデュース局,平泉チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第３プロデュース局 平泉チーム,東京第２ＢＡＰ本部第３Ｐ局平泉チーム,,0,20061000,113
4,20063000,3,20060000,田部チーム,64,9999,2,293,681,3243,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第３プロデュース局,田部チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第３プロデュース局 田部チーム,東京第２ＢＡＰ本部第３Ｐ局田部チーム,,0,20063000,114
4,20062000,3,20060000,板木チーム,64,9999,2,293,681,3244,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第３プロデュース局,板木チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第３プロデュース局 板木チーム,東京第２ＢＡＰ本部第３Ｐ局板木チーム,,0,20062000,115
4,20064000,3,20060000,付（出向休職）,64,9999,2,293,681,3245,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第３プロデュース局,付（出向休職）,,,,,,株式会社  大広 東京第２ＢＡＰ本部 第３プロデュース局 付（出向休職）,東京第２ＢＡＰ本部第３Ｐ局付（出向休職）,,0,20064000,116
5,20064001,4,20064000,（三井住友銀行）,64,9999,2,293,681,3245,840,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,第３プロデュース局,付（出向休職）,（三井住友銀行）,,,,,株式会社  大広 東京第２ＢＡＰ本部 第３プロデュース局 付（出向休職） （三井住友銀行）,東京第２ＢＡＰ本部第３Ｐ局付（出向休職）（三井住）,,0,20064001,117
3,20080000,2,20000000,統合プロデュース局,64,9999,2,293,682,0,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,統合プロデュース局,,,,,,,株式会社  大広 東京第２ＢＡＰ本部 統合プロデュース局,東京第２ＢＡＰ本部統合プロデュース局,,0,20080000,118
4,20081000,3,20080000,伊藤（俊）チーム,64,9999,2,293,682,3344,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,統合プロデュース局,伊藤（俊）チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 統合プロデュース局 伊藤（俊）チーム,東京第２ＢＡＰ本部統合Ｐ局伊藤（俊）チーム,,0,20081000,119
4,22021000,3,20080000,高橋（勇）チーム,64,9999,2,293,682,3246,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,統合プロデュース局,高橋（勇）チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 統合プロデュース局 高橋（勇）チーム,東京第２ＢＡＰ本部統合Ｐ局高橋（勇）チーム,,0,22021000,120
4,20082000,3,20080000,高木（宏）チーム,64,9999,2,293,682,3247,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,統合プロデュース局,高木（宏）チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 統合プロデュース局 高木（宏）チーム,東京第２ＢＡＰ本部統合Ｐ局高木（宏）チーム,,0,20082000,121
4,20083000,3,20080000,澤チーム（大阪駐在）,64,9999,2,293,682,3248,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,統合プロデュース局,澤チーム（大阪駐在）,,,,,,株式会社  大広 東京第２ＢＡＰ本部 統合プロデュース局 澤チーム（大阪駐在）,東京第２ＢＡＰ本部統合Ｐ局澤チーム（大阪駐在）,,0,20083000,122
3,20100000,2,20000000,名古屋支社,64,9999,2,293,683,0,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,名古屋支社,,,,,,,株式会社  大広 東京第２ＢＡＰ本部 名古屋支社,東京第２ＢＡＰ本部名古屋支社,,0,20100000,123
4,20101000,3,20100000,加藤チーム,64,9999,2,293,683,3249,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,名古屋支社,加藤チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 名古屋支社 加藤チーム,東京第２ＢＡＰ本部名古屋支社加藤チーム,,0,20101000,124
4,20102000,3,20100000,野田チーム,64,9999,2,293,683,3250,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,名古屋支社,野田チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 名古屋支社 野田チーム,東京第２ＢＡＰ本部名古屋支社野田チーム,,0,20102000,125
4,20103000,3,20100000,宗像チーム,64,9999,2,293,683,3251,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,名古屋支社,宗像チーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 名古屋支社 宗像チーム,東京第２ＢＡＰ本部名古屋支社宗像チーム,,0,20103000,126
4,22041000,2,20000000,デジタルメディアチーム,64,9999,2,293,0,3345,0,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,,デジタルメディアチーム,,,,,,株式会社  大広 東京第２ＢＡＰ本部 デジタルメディアチーム,東京第２ＢＡＰ本部デジタルメディアチーム,,0,22041000,127
5,22041001,4,22041000,付（ＤＡＣ出向）,64,9999,2,293,0,3345,883,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,,デジタルメディアチーム,付（ＤＡＣ出向）,,,,,株式会社  大広 東京第２ＢＡＰ本部 デジタルメディアチーム 付（ＤＡＣ出向）,東京第２ＢＡＰ本部ＤＭＴ付（ＤＡＣ出向）,,0,22041001,128
5,22043000,4,22041000,付（出向休職）,64,9999,2,293,0,3345,878,0,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,,デジタルメディアチーム,付（出向休職）,,,,,株式会社  大広 東京第２ＢＡＰ本部 デジタルメディアチーム 付（出向休職）,東京第２ＢＡＰ本部ＤＭチーム付（出向休職）,,0,22043000,129
6,22043001,5,22043000,（ＤＡＣ）,64,9999,2,293,0,3345,878,9,0,0,0,株式会社  大広,東京第２ＢＡＰ本部,,デジタルメディアチーム,付（出向休職）,（ＤＡＣ）,,,,株式会社  大広 東京第２ＢＡＰ本部 デジタルメディアチーム 付（出向休職） （ＤＡＣ）,東京第２ＢＡＰ本部ＤＭＴ付（出向休職）（ＤＡＣ）,,0,22043001,130
2,24000000,1,00000001,大阪ＢＡＰ本部,64,9999,2,294,0,0,0,0,0,0,0,株式会社  大広,大阪ＢＡＰ本部,,,,,,,,株式会社  大広 大阪ＢＡＰ本部,大阪ＢＡＰ本部,,0,24000000,131
3,24020000,2,24000000,第１プロデュース局,64,9999,2,294,685,0,0,0,0,0,0,株式会社  大広,大阪ＢＡＰ本部,第１プロデュース局,,,,,,,株式会社  大広 大阪ＢＡＰ本部 第１プロデュース局,大阪ＢＡＰ本部第１プロデュース局,,0,24020000,132
4,24021000,3,24020000,山内チーム,64,9999,2,294,685,3252,0,0,0,0,0,株式会社  大広,大阪ＢＡＰ本部,第１プロデュース局,山内チーム,,,,,,株式会社  大広 大阪ＢＡＰ本部 第１プロデュース局 山内チーム,大阪ＢＡＰ本部第１Ｐ局山内チーム,,0,24021000,133
5,24022000,4,24021000,（東京駐在）,64,9999,2,294,685,3252,841,0,0,0,0,株式会社  大広,大阪ＢＡＰ本部,第１プロデュース局,山内チーム,（東京駐在）,,,,,株式会社  大広 大阪ＢＡＰ本部 第１プロデュース局 山内チーム （東京駐在）,大阪ＢＡＰ本部第１Ｐ局山内チーム（東京駐在）,,0,24022000,134
4,24023000,3,24020000,新村チーム,64,9999,2,294,685,3253,0,0,0,0,0,株式会社  大広,大阪ＢＡＰ本部,第１プロデュース局,新村チーム,,,,,,株式会社  大広 大阪ＢＡＰ本部 第１プロデュース局 新村チーム,大阪ＢＡＰ本部第１Ｐ局新村チーム,,0,24023000,135
4,24024000,3,24020000,足立チーム,64,9999,2,294,685,3254,0,0,0,0,0,株式会社  大広,大阪ＢＡＰ本部,第１プロデュース局,足立チーム,,,,,,株式会社  大広 大阪ＢＡＰ本部 第１プロデュース局 足立チーム,大阪ＢＡＰ本部第１Ｐ局足立チーム,,0,24024000,136
